ID,Front Camera,Rear Camera,Camera,Type
264,13,13,0.11002604166666667,Sensible
307,13,13,0.11002604166666667,Sensible
355,13,13,0.11002604166666667,Sensible
374,13,13,0.11002604166666667,Sensible
378,13,13,0.11002604166666667,Sensible
389,13,13,0.11002604166666667,Sensible
403,13,13,0.11002604166666667,Sensible
694,13,13,0.11002604166666667,Sensible
77,5,8,0.026041666666666668,Sensible
128,5,8,0.026041666666666668,Sensible
186,5,8,0.026041666666666668,Sensible
195,5,8,0.026041666666666668,Sensible
531,5,8,0.026041666666666668,Sensible
79,5,20,0.06510416666666667,Sensible
393,5,20,0.06510416666666667,Sensible
496,5,20,0.06510416666666667,Sensible
585,5,20,0.06510416666666667,Sensible
617,5,20,0.06510416666666667,Sensible
620,5,20,0.06510416666666667,Sensible
651,5,20,0.06510416666666667,Sensible
169,16,32,0.3333333333333333,Photophile
288,16,32,0.3333333333333333,Photophile
391,16,32,0.3333333333333333,Photophile
414,16,32,0.3333333333333333,Photophile
564,16,32,0.3333333333333333,Photophile
579,16,32,0.3333333333333333,Photophile
727,16,32,0.3333333333333333,Photophile
96,32,40,0.8333333333333334,Selfie-Addict
627,32,40,0.8333333333333334,Selfie-Addict
647,32,40,0.8333333333333334,Selfie-Addict
733,32,40,0.8333333333333334,Selfie-Addict
136,8,13,0.06770833333333333,Sensible
101,16,12,0.125,Sensible
114,16,12,0.125,Sensible
165,16,12,0.125,Sensible
203,16,12,0.125,Sensible
212,16,12,0.125,Sensible
413,16,12,0.125,Sensible
415,16,12,0.125,Sensible
440,16,12,0.125,Sensible
575,16,12,0.125,Sensible
671,16,12,0.125,Sensible
736,16,12,0.125,Sensible
658,8,12,0.0625,Sensible
121,8,12,0.0625,Sensible
125,16,13,0.13541666666666666,Sensible
250,16,13,0.13541666666666666,Sensible
281,16,13,0.13541666666666666,Sensible
341,16,13,0.13541666666666666,Sensible
406,16,13,0.13541666666666666,Sensible
471,16,13,0.13541666666666666,Sensible
501,16,13,0.13541666666666666,Sensible
641,16,13,0.13541666666666666,Sensible
702,16,13,0.13541666666666666,Sensible
131,8,13,0.06770833333333333,Sensible
469,8,13,0.06770833333333333,Sensible
622,8,13,0.06770833333333333,Sensible
133,5,8,0.026041666666666668,Sensible
161,5,8,0.026041666666666668,Sensible
233,5,8,0.026041666666666668,Sensible
697,5,8,0.026041666666666668,Sensible
700,5,8,0.026041666666666668,Sensible
739,5,8,0.026041666666666668,Sensible
139,20,48,0.625,Photophile
397,20,48,0.625,Photophile
584,5,13,0.042317708333333336,Sensible
173,16,16,0.16666666666666666,Photophile
502,16,16,0.16666666666666666,Photophile
734,16,16,0.16666666666666666,Photophile
183,5,8,0.026041666666666668,Sensible
331,5,8,0.026041666666666668,Sensible
484,5,8,0.026041666666666668,Sensible
616,5,8,0.026041666666666668,Sensible
185,13,13,0.11002604166666667,Sensible
196,13,13,0.11002604166666667,Sensible
296,13,13,0.11002604166666667,Sensible
684,13,13,0.11002604166666667,Sensible
210,5,13,0.042317708333333336,Sensible
396,5,13,0.042317708333333336,Sensible
452,5,13,0.042317708333333336,Sensible
477,5,13,0.042317708333333336,Sensible
544,5,13,0.042317708333333336,Sensible
546,5,13,0.042317708333333336,Sensible
551,5,13,0.042317708333333336,Sensible
670,5,13,0.042317708333333336,Sensible
696,5,13,0.042317708333333336,Sensible
213,8,12,0.0625,Sensible
418,8,12,0.0625,Sensible
295,8,12,0.0625,Sensible
608,8,12,0.0625,Sensible
680,8,12,0.0625,Sensible
722,8,12,0.0625,Sensible
486,8,16,0.08333333333333333,Sensible
630,13,19,0.16080729166666666,Photophile
657,13,19,0.16080729166666666,Photophile
431,12,13,0.1015625,Sensible
646,12,13,0.1015625,Sensible
448,16,13,0.13541666666666666,Sensible
463,8,12,0.0625,Sensible
510,13,19,0.16080729166666666,Photophile
714,13,19,0.16080729166666666,Photophile
577,8,12,0.0625,Sensible
644,8,12,0.0625,Sensible
655,8,13,0.06770833333333333,Sensible
660,8,12,0.0625,Sensible
728,8,12,0.0625,Sensible
